instancia,execucao1,execucao2,execucao3,execucao4,execucao5,execucao6,execucao7,execucao8,execucao9,execucao10,custo_medio
a280,2579,2579,2579,2579,2579,2579,2579,2579,2579,2579,2579.000000
ali535,202517,202339,202493,202452,202435,202447,202411,202480,202435,202472,202448.100000
att48,10628,10628,10628,10628,10628,10628,10628,10628,10628,10628,10628.000000
att532,27733,27726,27738,27717,27720,27727,27751,27726,27733,27736,27730.700000
bayg29,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610.000000
bays29,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020.000000
berlin52,7542,7542,7542,7542,7542,7542,7542,7542,7542,7542,7542.000000
bier127,118282,118282,118282,118282,118282,118282,118282,118282,118282,118282,118282.000000
brazil58,25395,25395,25395,25395,25395,25395,25395,25395,25395,25395,25395.000000
brg180,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950.000000
burma14,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323.000000
ch130,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110.000000
ch150,6528,6528,6528,6528,6528,6528,6528,6528,6528,6528,6528.000000
d198,15780,15780,15780,15780,15780,15780,15780,15780,15780,15780,15780.000000
d493,35068,35046,35078,35067,35043,35034,35025,35035,35095,35031,35052.200000
dantzig42,699,699,699,699,699,699,699,699,699,699,699.000000
eil101,629,629,629,629,629,629,629,629,629,629,629.000000
eil51,426,426,426,426,426,426,426,426,426,426,426.000000
eil76,538,538,538,538,538,538,538,538,538,538,538.000000
fl417,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861.000000
fri26,937,937,937,937,937,937,937,937,937,937,937.000000
gil262,2378,2378,2378,2378,2378,2378,2380,2378,2379,2378,2378.300000
gr120,6942,6942,6942,6942,6942,6942,6942,6942,6942,6942,6942.000000
gr137,69853,69853,69853,69853,69853,69853,69853,69853,69853,69853,69853.000000
gr17,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085.000000
gr202,40160,40160,40160,40160,40160,40160,40160,40160,40161,40160,40160.100000
gr21,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707.000000
gr229,134602,134666,134644,134602,134602,134616,134602,134666,134602,134602,134620.400000
gr24,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272.000000
gr431,171630,171568,171628,171545,171745,171545,171495,171617,171495,171623,171589.100000
gr48,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046.000000
gr96,55209,55209,55209,55209,55209,55209,55209,55209,55209,55209,55209.000000
hk48,11461,11461,11461,11461,11461,11461,11461,11461,11461,11461,11461.000000
kroA100,21282,21282,21282,21282,21282,21282,21282,21282,21282,21282,21282.000000
kroA150,26524,26524,26524,26524,26524,26524,26524,26524,26524,26524,26524.000000
kroA200,29368,29368,29368,29368,29368,29368,29368,29368,29368,29368,29368.000000
kroB100,22141,22141,22141,22141,22141,22141,22141,22141,22141,22141,22141.000000
kroB150,26130,26130,26130,26130,26130,26130,26130,26130,26130,26130,26130.000000
kroB200,29437,29438,29437,29437,29438,29439,29437,29437,29437,29437,29437.400000
kroC100,20749,20749,20749,20749,20749,20749,20749,20749,20749,20749,20749.000000
kroD100,21294,21294,21294,21294,21294,21294,21294,21294,21294,21294,21294.000000
kroE100,22068,22068,22068,22068,22068,22068,22068,22068,22068,22068,22068.000000
lin105,14379,14379,14379,14379,14379,14379,14379,14379,14379,14379,14379.000000
lin318,42051,42029,42050,42029,42029,42029,42029,42029,42029,42120,42042.400000
linhp318,42029,42029,42029,42051,42029,42029,42051,42050,42029,42112,42043.800000
pcb442,50872,50846,50922,50855,50891,50917,50822,50910,50883,50903,50882.100000
pr107,44303,44303,44303,44303,44303,44303,44303,44303,44303,44303,44303.000000
pr124,59030,59030,59030,59030,59030,59030,59030,59030,59030,59030,59030.000000
pr136,96772,96772,96772,96772,96772,96772,96772,96772,96772,96772,96772.000000
pr144,58537,58537,58537,58537,58537,58537,58537,58537,58537,58537,58537.000000
pr152,73682,73682,73682,73682,73682,73682,73682,73682,73682,73682,73682.000000
pr226,80369,80369,80369,80369,80369,80369,80369,80369,80369,80369,80369.000000
pr264,49135,49135,49135,49135,49135,49135,49135,49135,49135,49135,49135.000000
pr299,48191,48191,48207,48191,48191,48191,48191,48191,48191,48191,48192.600000
pr76,108159,108159,108159,108159,108159,108159,108159,108159,108159,108159,108159.000000
rat195,2325,2323,2323,2323,2328,2323,2325,2325,2325,2323,2324.300000
rat99,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211.000000
rd100,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910.000000
rd400,15285,15292,15303,15301,15313,15303,15298,15308,15309,15321,15303.300000
si175,21407,21407,21407,21407,21407,21407,21407,21407,21407,21407,21407.000000
si535,48453,48458,48456,48469,48467,48460,48455,48454,48470,48453,48459.500000
st70,675,675,675,675,675,675,675,675,675,675,675.000000
swiss42,1273,1273,1273,1273,1273,1273,1273,1273,1273,1273,1273.000000
ts225,126643,126643,126643,126643,126643,126643,126643,126643,126643,126643,126643.000000
tsp225,3916,3916,3916,3916,3916,3916,3916,3916,3916,3916,3916.000000
u159,42080,42080,42080,42080,42080,42080,42080,42080,42080,42080,42080.000000
ulysses16,6859,6859,6859,6859,6859,6859,6859,6859,6859,6859,6859.000000
ulysses22,7013,7013,7013,7013,7013,7013,7013,7013,7013,7013,7013.000000
